DEVICE NAME,DESCRIPTION,MAC,EXT,SN,SW,PTO
SEPB4A8B969FCD4,Hab322_S.Cugat,B4A8B969FCD4,10885322,FCH2149DG94,SW-AMU139V0-44,gi3
SEP247E12BE0A0E,Hab321_S.Cugat,247E12BE0A0E,10885321,FCH2149DK6V,SW-AMU139V0-44,gi4
SEP0027901C7616,Hab320_S.Cugat,0027901C7616,10885320,FCH2144DJSV,SW-AMU139V0-44,gi5
SEP247E12BE0800,T_Rojo_UH3_S.Cugat,247E12BE0800,17774007,FCH2149DJRB,SW-AMU139V0-21,gi9
SEP247E12BE08CD,Hab327_S.Cugat,247E12BE08CD,10885327,FCH2149DJXD,SW-AMU139V0-43,gi22
SEP247E12BF51FF,Hab301_S.Cugat,247E12BF51FF,10885301,FCH2201DHNU,SW-AMU139V0-43,gi1
SEP247E12BE0740,Hab424_S.Cugat,247E12BE0740,10885424,FCH2149DJKP,SW-AMU139V0-45,gi24
SEPB4A8B969FBE7,Hab417_S.Cugat,B4A8B969FBE7,10885417,FCH2149DG25,SW-AMU139V0-45,gi16
SEP74860B715ED7,Hab430_S.Cugat,74860B715ED7,10885430,FCH2135DUWV,SW-AMU139V0-44,gi18
SEP0027901C7322,T_Rojo_UH4_S.Cugat,0027901C7322,17774008,FCH2144DJ4,SW-AMU139V0-21,gi5
SEP74860B715ED4,Hab428_S.Cugat,74860B715ED4,10885428,FCH2135DUWS,SW-AMU139V0-44,gi16
SEP247E12BE0790,Hab427_S.Cugat,247E12BE0790,10885427,FCH2149DJN1,SW-AMU139V0-44,gi15
SEP247E12BE07B4,Hab425_S.Cugat,247E12BE07B4,10885425,FCH2149DJP3,SW-AMU139V0-44,gi13
SEPB4A8B969FBE7,Hab417_S.Cugat,B4A8B969FBE7,10885417,FCH2149DG25,SW-AMU139V0-45,gi16
SEPB4A8B969FC60,Hab401_S.Cugat,B4A8B969FC60,10885401,FCH2149DG5Q,SW-AMU139V0-45,gi3
SEP247E12BE073D,Hab403_S.Cugat,247E12BE073D,10885403,FCH2149DJKL,SW-AMU139V0-45,gi7
