FECHAHORA,"HARDWARE_NAME","MONITOR_1_SN","LLDP_RID1_SWITCH_PORTDESCR","LLDP_RID1_SWITCH_SYSNAME","p4k_FREQUENT_USERS"
"29-03-2022",S4PL8837,V305DFM6,"PC Port","SEP247E12BE6F25.asepeyo.site","11214->20;10243->18;7343->13"
"29-03-2022",PC053VEM,52549101,"Device Port 2","(empty)","26589->44;24227->30;80790->8"
"29-03-2022",S4PL3954,V305BK1Y,"-","-","10379->46;14479->29;26335->26"
"29-03-2022",S4PL3941,V305BKL9,"PC Port","SEP247E12BFD070.asepeyo.site","23611->55;20623->54;24687->44"
"29-03-2022",S4PL4467,V305BHBL,gi3,"SW-AMU139V0-32","27333->21;23877->4;24673->1"
"29-03-2022",S4PL3941,V305BKL9,"-","-","20623->54;23611->54;24687->44"
"29-03-2022",S4PL3938,V305BHAK,"-","-","1305->46;11875->38;11971->32"
"29-03-2022",S4AV0105,V902Z3RB,gi17,"SW-AMU139V0-15","6186->37;21211->33;9986->31"
"29-03-2022",S4AU7289,V902Z3AB,gi21,"SW-AMU139V0-32","14545->46;9306->38;23599->6"
"29-03-2022",S4AU7521,V902Z31B,gi21,"SW-AMU139V0-46","9755->19;9864->11;27443->7"
"29-03-2022",S4AU7137,V902Z39F,gi12,"SW-AMU139V0-36","27443->7;81241->6;25551->5"
"29-03-2022",S4AU7521,V902Z31B,gi21,"SW-AMU139V0-46","9755->19;9864->11;27443->6"
"29-03-2022",S4AU7521,V902Z31B,gi21,"SW-AMU139V0-46","9755->19;9864->11;27443->5"
"29-03-2022",S4AU4974,V902Z3WB,gi15,"SW-AMU139V0-30","26481->49;10047->29;14457->7"
"29-03-2022",S4AV0482,V902Z39M,gi8,"SW-AMU139V0-29","6074->45;26481->20;24369->8"
"29-03-2022",S4PL5076,V305BHBA,"PC Port","SEP247E12BE6F16.asepeyo.site","1230->32;24273->7;23613->2"
"29-03-2022",S4PL3951,V305BHAH,gi9,"SW-AMU139V0-26","1288->16;1369->9;27257->7"
"29-03-2022",S4PL4467,V305BHBL,"-","-","27333->21;23877->3;24673->1"
"29-03-2022",PC053VBN,"VL-ZGR67","-","-","25917->41;2349->34;4003->1"
"29-03-2022",S4AY2975,V902Z3ZZ,"PC Port","SEP009AD2F08AA2.asepeyo.site","22421->125;27083->50;10934->6"
"29-03-2022",S4AY2908,V902Z3N5,"-","-","27413->26;12853->18;23447->18"
"29-03-2022",S4AY2926,V902Z2M6,"PC Port","SEPB4A8B969C8DC.asepeyo.site","1346->49;23415->35;12853->26"
"29-03-2022",S4PL3327,V305BHLB,"-","-","6425->45;1350->8;12498->6"
"29-03-2022",S4AU7083,V902Z3NC,"-","-","26307->20;27413->16;1349->15"
"29-03-2022",S4PL3873,V305BH8R,"-","-","14681->29;13786->16;7305->16"
"29-03-2022",S4AU6938,V902Z39Z,gi9,"SW-AMU139V0-7","6395->16;7305->15;13786->12"
"29-03-2022",S4AU7145,V902Z3AA,"-","-","14694->14;7343->11;6669->8"
"29-03-2022",S4AV0275,V902V2X1,"-","-","6877->51;23299->37;10199->30"
"29-03-2022",S4AU7772,V902Z425,gi7,"SW-AMU139V0-24","26219->6;6615->5;6150->1"
"29-03-2022",S4AV0482,V902Z39M,gi8,"SW-AMU139V0-29","6074->45;26481->19;24369->8"
"29-03-2022",S4AU7258,0,gi12,"SW-AMU139V0-29","4003->56;6935->47;14457->5"
"29-03-2022",S4PL4550,V305BHBM,gi7,"SW-AMU139V0-32","3192->24"
"29-03-2022",S4PL8689,V305BFCV,gi13,"SW-AMU139V0-35","7083->47"
"29-03-2022",S4AY2861,V902Z3ZV,gi2,"SW-AMU139V0-5","12072->51;12487->2;20951->1"
"29-03-2022",S4AY2861,V902Z3ZV,"-","-","12072->50;12487->2;20951->1"
"29-03-2022",S4AV0482,V902Z39M,gi8,"SW-AMU139V0-29","6074->45;26481->19;24369->8"
"29-03-2022",S4AY2861,V902Z3ZV,"-","-","12072->49;12487->2;20951->1"
"29-03-2022",S4PL3873,V305BH8R,"-","-","14681->29;13786->16;7305->16"
"29-03-2022",S4PL3854,V305BH8A,gi5,"SW-AMU139V0-23","3336->16"
"29-03-2022",S4PL4554,V305BK1V,gi6,"SW-AMU139V0-16","1359->54;12660->2;20951->1"
"29-03-2022",S4AU7772,V902Z425,gi7,"SW-AMU139V0-24","26219->6;6615->4;6150->1"
"29-03-2022",S4AV0275,V902V2X1,"Device Port 2","(empty)","6877->52;23299->37;10199->30"
"29-03-2022",S4PL4373,V305BK1D,"-","-","1325->21"
"29-03-2022",PC053VHG,16843009,"-","-","3167->2;6616->1;22473->1"
"29-03-2022",S4PL4531,V305BFM8,gi15,"SW-AMU139V0-3","6616->39;27257->3"
