FECHAHORA,HARDWARE_NAME,LLDP_RID1_SWITCH_PORTDESCR,LLDP_RID1_SWITCH_SYSNAME,p4k_FREQUENT_USERS
25-01-2022,PC053VFH,PC Port,SEPB4A8B969C86C.asepeyo.site,80734->46;84001->16;84005->1
25-01-2022,S4AV0482,gi8,SW-AMU139V0-29,2349->30;24369->17;6074->16
25-01-2022,S4PL4534,gi17,SW-AMU139V0-32,27443->19;26239->8;24673->3
25-01-2022,S4AU5084,gi18,SW-AMU139V0-25,9862->37;1251->22
25-01-2022,S4PL4059,-,-,1358->29
25-01-2022,S4PL3941,-,-,23611->48;20623->36;25793->29
25-01-2022,S4PL8837,-,-,11214->18;6200->12;9937->12
25-01-2022,S4PL4555,-,-,81921->3;81920->2;3021->1
25-01-2022,S4AY3020,-,-,23613->7;3188->7;26937->5
25-01-2022,S4PL4555,-,-,81920->2;81921->2;3021->1
25-01-2022,S4PL4555,-,-,81920->2;3021->1;11900->1
25-01-2022,S4AY2856,gi12,SW-AMU139V0-20,27083->58;22421->10;23913->9
25-01-2022,S4PL3741,-,-,80209->11;81249->10;13614->7
25-01-2022,S4AY2986,-,-,1277->27;4070->27;27705->18
25-01-2022,S4AV0146,-,-,12777->34;27729->30;14681->13
25-01-2022,PC053VEM,-,-,24227->31;26589->30;80790->18
25-01-2022,S4AV0105,-,-,9986->29;6186->27;15068->20
25-01-2022,S4PL4555,-,-,81920->2;3021->1;11900->1
25-01-2022,S4AY2961,gi1,SW-AMU139V0-24,9937->22;22389->6;23897->5
25-01-2022,S4AY2856,gi12,SW-AMU139V0-20,27083->58;23913->9;22421->9
25-01-2022,S4PL3873,-,-,23415->29;27397->23;7305->22
25-01-2022,S4PL4555,-,-,3021->1;11900->1;0768->1
25-01-2022,S4PL4528,-,-,3511->20
25-01-2022,S4AU6938,gi9,SW-AMU139V0-7,7305->20;15192->15;23415->12
25-01-2022,S4AU7289,gi21,SW-AMU139V0-32,14545->33;24827->19;23331->14
25-01-2022,S4AY2975,PC Port,SEP009AD2F08AA2.asepeyo.site,22421->100;27083->39;81828->2
25-01-2022,S4AV0482,gi8,SW-AMU139V0-29,2349->30;24369->16;6074->16
25-01-2022,S4PL4528,gi9,SW-AMU139V0-13,3511->19
25-01-2022,S4AU6938,-,-,7305->20;15192->14;23415->12
25-01-2022,S4AU7083,PC Port,SEP247E12BF778A.asepeyo.site,27413->20;1370->16;12853->13
25-01-2022,S4PL3938,-,-,11875->29;1305->28;11971->26
25-01-2022,S4PL3954,PC Port,SEPB4A8B969C80B.asepeyo.site,10379->20;6200->16;23897->6
25-01-2022,S4AU7145,PC Port,SEP247E12BF5D85.asepeyo.site,15131->17;6934->6;7351->6
25-01-2022,S4AY2908,-,-,10934->19;1370->16;23913->14
25-01-2022,S4AY2926,PC Port,SEPB4A8B969C8DC.asepeyo.site,1346->39;1349->32;23447->30
25-01-2022,S4AU7145,-,-,15131->17;6934->6;7351->6
25-01-2022,S4PL4073,gi12,SW-AMU139V0-7,6395->17;15192->10;12907->8
25-01-2022,S4PL4060,-,-,5245->8;9986->1
